block_size,lookahead,cycles,status,vs_baseline
4,512,1981,OK,0
4,1024,1981,OK,0
4,2048,1981,OK,0
4,4096,1981,OK,0
6,512,2019,OK,38
6,1024,2018,OK,37
6,2048,2018,OK,37
6,4096,2018,OK,37
8,512,1980,OK,-1
8,1024,1980,OK,-1
8,2048,1980,OK,-1
8,4096,1980,OK,-1
10,512,2016,OK,35
10,1024,2014,OK,33
10,2048,2014,OK,33
10,4096,2014,OK,33
12,512,2038,OK,57
12,1024,1986,OK,5
12,2048,1986,OK,5
12,4096,1986,OK,5
14,512,2006,OK,25
14,1024,2001,OK,20
14,2048,2001,OK,20
14,4096,2001,OK,20
16,512,1928,OK,-53
16,1024,1923,OK,-58
16,2048,1923,OK,-58
16,4096,1923,OK,-58
18,512,2210,OK,229
18,1024,2130,OK,149
18,2048,2130,OK,149
18,4096,2130,OK,149
